id,name,price,description,image,category,retailer,quantity,onSale,hasRebate
1,"Blink Video Doorbell",59.99,"Blink Video Doorbell | Two-way audio, HD video, motion and chime app alerts and Alexa enabled — wired or wire-free (Black)",/images/doorbells/doorbell1.jpg,doorbells,SmartHomes,4,1,1
2,"Tapo TP-Link Smart Doorbell",89.99,"Tapo TP-Link Smart Video Doorbell Camera, Battery Powered, Chime Included, 2K 5MP, Color Night Vision, 2-Way Audio",/images/doorbells/doorbell2.jpg,doorbells,SmartHomes,19,0,1
3,"Ring Video Doorbell",59.99,"Ring Video Doorbell - 1080p HD video, improved motion detection, easy installation (2020 release) – Satin Nickel",/images/doorbells/doorbell3.jpg,doorbells,SmartHomes,50,1,0
4,"Google Nest Doorbell",137.31,"Google Nest Doorbell (Battery) - Ash",/images/doorbells/doorbell4.jpg,doorbells,Smarthomes,25,0,1
5,"Smart Video Doorbell Camera Wireless",13.99,"Smart Video Doorbell Camera Wireless, AI Human Detection and Instant Alerts, Night Vision, 2-Way Audio, Battery Powered, Cloud Storage, 2.4G WiFi",/images/doorbells/doorbell5.jpg,doorbells,SmartHomes,50,1,0
6,"Keyless Entry Door Lock with Handle",66.49,"Keyless Entry Door Lock with Handle, Hornbill Smart Front Door Lock Set, Electronic Keypad Deadbolt Lock, Alexa Front Door Handle Set",/images/doorlocks/doorlock6.jpg,doorlocks,SmartHomes,38,1,1
7,"Philips Wi-Fi Smart Door Lock",139.99,"Philips Wi-Fi Smart Door Lock, Keyless Entry Door Lock with App Control, Fingerprint ID, Auto Unlock, Keypad Deadbolt with Wi-Fi Bridge Adaptor",/images/doorlocks/doorlock2.jpg,doorlocks,SmartHomes,49,1,1
8,"Keypad Smart Door Lock",79.99,"Keypad Smart Door Lock with Handle: Kucacci Keyless Entry Door Lock - Digital Door Lock with Keypad Code - Fingerprint Door Lever Lock Deadbolt",/images/doorlocks/doorlock3.jpg,doorlocks,SmartHomes,21,1,1
9,"eufy Smart Lock C30",59.99,"eufy Smart Lock C30, Keyless Entry Door Lock, Built-in WiFi Deadbolt, Smart Lock for Front Door, No Bridge Required, Easy Installation",/images/doorlocks/doorlock4.jpg,doorlocks,SmartHomes,50,1,1
10,"Yale Assure Lock 2 with Wi-Fi",239.99,"Yale Assure Lock 2 with Wi-Fi, Black Connected Keypad Smart Lock for Front Door or Back, Door Lock with Code and Back-Up Key",/images/doorlocks/doorlock5.jpg,doorlocks,SmartHomes,31,0,1
11,"Keyless Entry Door Lock with Handle",66.49,"Keyless Entry Door Lock with Handle, Hornbill Smart Front Door Lock Set, Electronic Keypad Deadbolt Lock, Alexa Front Door Handle Set",/images/doorlocks/doorlock6.jpg,doorlocks,SmartHomes,16,0,1
12,"Govee Smart Light Bulbs",34.99,"Govee Smart Light Bulbs, Color Changing Light Bulb, Work with Alexa and Google Assistant, 16 Million Colors RGBWW, WiFi & Bluetooth LED Light Bulbs",/images/lightings/lighting1.jpg,lightings,SmartHomes,6,1,0
13,"GE CYNC A19 Smart LED Light Bulbs",14.95,"GE CYNC A19 Smart LED Light Bulbs, Color Changing Room Décor, Bluetooth and WiFi Light Bulbs",/images/lightings/lighting2.jpg,lightings,SmartHomes,38,0,1
14,"Touch Bedside Table Lamp",23.99,"Touch Bedside Table Lamp, [Sleek Design & RGB Mode] 3 Way Dimmable Small Lamp for Bedroom",/images/lightings/lighting3.jpg,lightings,SmartHomes,6,0,0
